diff	lwr	upr	p adj	location	day	ad_metric	q.value
ther-ctrl30	-77.6444444444444	-133.580373593816	-21.7085152950726	0.00514489917938943	cc	78	sobs	0.0631539370253331
ther-sub30	-2.86111111111114	-56.5436540795278	50.8214318573055	0.990461259168767	cc	78	sobs	0.999999984904248
sub-ctrl31	-76.7920166	-137.115449984905	-16.4685832150954	0.010459844888288	cc	78	chao	0.114107398781324
ther-ctrl31	-103.789892155556	-168.522168630802	-39.0576156803093	0.00129376657814073	cc	78	chao	0.027397409890039
ther-sub31	-26.9978755555556	-89.122403853748	35.1266527426368	0.536929316028402	cc	78	chao	0.918829114288513
sub-ctrl32	-77.5686753333332	-129.051991693	-26.0853589736666	0.00242237173760418	cc	78	ace	0.0396388102517047
ther-ctrl32	-89.1906193888888	-144.436683504504	-33.9445552732732	0.00120352771460086	cc	78	ace	0.0270793735785194
ther-sub32	-11.6219440555556	-64.6424132928265	41.3985251817153	0.851168648028446	cc	78	ace	0.999999984904248
sub-ctrl33	-4.5900705	-16.6287763537075	7.44863535370749	0.617929907895521	cc	78	invsimpson	0.996531039466699
ther-ctrl33	4.18052272222222	-8.73805289587862	17.0990983403231	0.705670021810883	cc	78	invsimpson	0.999999984904248
ther-sub33	8.77059322222222	-3.6275558968798	21.1687423413243	0.204778201623111	cc	78	invsimpson	0.530360809959137
sub-ctrl34	-0.444261716666666	-0.82658866080566	-0.0619347725276731	0.0202178354337906	cc	78	shannon	0.158226538177492
ther-ctrl34	-0.0152225777777781	-0.425492551869381	0.395047396313825	0.995364664280079	cc	78	shannon	0.999999984904248
ther-sub34	0.429039138888888	0.0352969440643477	0.822781333713429	0.0305709606653979	cc	78	shannon	0.199329027956618
sub-ctrl35	-78.5882352941176	-129.199457674283	-27.9770129139523	0.00162402391419492	cc	84	sobs	0.0324804782838983
ther-ctrl35	-61.2549019607843	-126.484720185511	3.97491626394201	0.0691659351302353	cc	84	sobs	0.270649311379182
ther-sub35	17.3333333333333	-50.4638787264024	85.1305453930691	0.806231662539169	cc	84	sobs	0.999999984904248
sub-ctrl36	-98.0861936606335	-154.968941176647	-41.2034461446198	0.000498048059048184	cc	84	chao	0.0162997546597587
ther-ctrl36	-92.2567238529412	-165.56954077567	-18.9439069302124	0.0110522515149953	cc	84	chao	0.117023839570539
ther-sub36	5.82946980769231	-70.3688813586876	82.0278209740723	0.980771077313508	cc	84	chao	0.999999984904248
