"d78_cc_ctrl"	"d78_cc_ther"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"3-hydroxy-3-methylglutarate"	1.34188234706475	1.0001000150025	1.02575309771009	0.0188855555555556
"3-hydroxybenzoate"	-1.64795630524335	-1.18338164164852	-1.49085548064173	0.0133428571428571
"3-hydroxybutyrate (BHBA)"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00117714285714286
"3-hydroxyhexanoate"	1.41449648996668	1.0001000150025	1.34188234706475	0.00913492063492063
"3-hydroxyindolin-2-one"	3.21101155560307	2.47241440918489	3.12973179105331	0.0300109523809524
"3-hydroxyphenylacetate"	1.0001000150025	1.0001000150025	1.0001000150025	0.000653333333333333
"3-hydroxysebacate"	1.93805733711164	1.57181676187063	1.93805733711164	0.0117533333333333
"3-methyl-2-oxobutyrate"	1.0001000150025	1.0001000150025	1.0001000150025	0.00206666666666667
"3-methyl-2-oxovalerate"	0	0	0	0.00116666666666667
"3-methyladipate"	6.58464696785973	6.60288260312815	6.89063513368138	0.101583333333333
"3-methylglutaconate"	2.7914190361353	2.56441133642061	3.00514202378226	0.0383425396825397
"3-methylglutarate/2-methylglutarate"	1.41449648996668	1.38701725030211	1.40868513468813	0.0151
"3-methylhistidine"	-0.632480831772952	-0.142857434403225	-0.301514085627365	0.0126922222222222
"3-phenylpropionate (hydrocinnamate)"	1.34188234706475	1.50789946626551	1.96596720643385	0.010148253968254
"3-sulfo-L-alanine"	-0.447222540040205	1.0001000150025	0.318002579774592	0.00610952380952381
"3-ureidopropionate"	0	0	0	6e-04
"4-acetamidobutanoate"	-1.40027448069996	-1.41449648996668	-1.40868513468813	0.00213333333333333
"4-cholesten-3-one"	-1.0001000150025	-1.0001000150025	-1.0001000150025	9e-04
"4-ethylphenyl sulfate"	1.60632445314792	1.54656785825546	1.54628428985305	0.0238
"4-guanidinobutanoate"	0	-1.0001000150025	-1.0001000150025	0.00254
"4-hydroxybenzoate"	-1.0001000150025	-0.277352231599525	-0.447222540040205	0.0019
"4-hydroxybutyrate (GHB)"	-1.66494077351926	-1.70610212367578	-1.72660297827014	0.00825
"4-hydroxymandelate"	1.0001000150025	1.0001000150025	1.0001000150025	0.00489047619047619
"4-hydroxyphenylacetate"	0	0	0	0.00162857142857143
"4-hydroxyphenylpyruvate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.0016
"4-imidazoleacetate"	1.0001000150025	0	1.0001000150025	0.00363333333333333
"4-methyl-2-oxopentanoate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00221666666666667
"4-methylthio-2-oxobutanoate"	-1.38701725030211	-1.41449648996668	-1.40584162388088	0.0035
"5-(2-Hydroxyethyl)-4-methylthiazole"	-0.837462342992745	-0.762045011060666	-0.785528746498789	0.0193966666666667
"5-aminovalerate"	2.99977033887481	3.09880056094503	3.20636139794402	0.0360833333333333
"5-hydroxyhexanoate"	-1.0001000150025	0	-0.585225778302558	0.00535238095238095
"5-hydroxyindoleacetate"	-0.331522904530871	0.0703162901604877	0.240009020768646	0.0219911111111111
"5-hydroxylysine"	-1.41449648996668	-0.577369515160903	-0.577369515160903	0.00431285714285714
"5-methyl-2'-deoxycytidine"	0	0	0	0.00154603174603175
"5-methyluridine (ribothymidine)"	-1.38701725030211	-1.0001000150025	-1.2876660719104	0.00239619047619048
"5-oxoproline"	0	0	0	0.000857142857142857
"6-hydroxydaidzein"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00615
"6-hydroxynicotinate"	1.0001000150025	0	1.0001000150025	0.00288333333333333
"6-oxopiperidine-2-carboxylate"	3.06650265545152	3.03886221646467	3.44134646819734	0.03275
"7-methylguanine"	2.17424858861527	1.29001866792017	1.83013360398478	0.0291
"8-hydroxyguanine"	1.19224855819344	0.137360823120298	0.757314660093937	0.0110333333333333
"8-hydroxyoctanoate"	0	0	0	0
"9,10-DiHOME"	-0.727645398532215	0	-0.415234558546945	0.022247619047619
"acetylcarnitine (C2)"	-1.0001000150025	0	-1.0001000150025	0.00688095238095238
"acetylphosphate"	0	0	0	0.000333333333333333
"acisoga"	1.50789946626551	1.83891159036711	1.717944959087	0.0199595238095238
"adenine"	1.78625700223531	1.92987607968579	2.00080048032022	0.0245095238095238
"adenosine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00966666666666667
"AMP"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.0117666666666667
"adipate"	6.71641053056362	6.71654707136423	7.09296750701938	0.0953999999999999
"agmatine"	0	0	0	0.000333333333333333
"alanine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00164666666666667
"alanylleucine"	3.52319533023578	3.84988101012182	3.96508122966858	0.0610253968253968
"allo-threonine"	0	0	0	0
"alpha-hydroxyisocaproate"	0	0	0	0.000333333333333333
"alpha-hydroxyisovalerate"	0	1.0001000150025	1.0001000150025	0.00035
"alpha-ketoglutarate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00403333333333333
"alpha-tocopherol"	0	0	0	0.000662857142857143
"alpha-tocopherol acetate"	0	0	0	0
"alpha-tocotrienol"	0	0	0	0.00103333333333333
"anserine"	0	0	0	0.00325
"arabinose"	-1.40027448069996	-1.34188234706475	-1.41449648996668	0.00434444444444444
"arabitol/xylitol"	3.01403234707013	2.26249233660578	2.91081148115376	0.0391974603174603
"arabonate/xylonate"	-1.41449648996668	-1.66712982262021	-1.71549048167036	0.00642380952380952
"arachidate (20:0)"	0	0	0	0.00124285714285714
"arachidonate (20:4n6)"	0	0	0	0.000333333333333333
"arginine"	-1.21285649954833	-1.21285649954833	-1.41449648996668	0.00253333333333333
"argininosuccinate"	-1.70610212367578	-1.70610212367578	-1.7224028172392	0.00951666666666667
"asparagine"	1.73257065675498	1.73257065675498	1.73257065675498	0.0112238095238095
"aspartate"	0	0	0	0.00418
"azelate (nonanedioate; C9)"	6.02902557045044	5.98953586703452	6.3335170621925	0.0748
"benzoate"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00633111111111111
"beta-alanine"	0	0	0	0.0126271428571429
"beta-guanidinopropanoate"	0	0	0	0.000342857142857143
