"d78_cc_ctrl"	"d78_cc_sub"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"5-hydroxylysine"	1.0001000150025	0	1.0001000150025	0.000342857142857143
"5-methyl-2'-deoxycytidine"	0	0	0	0.00478666666666667
"5-methyluridine (ribothymidine)"	0.277352231599525	-1.0001000150025	-0.318002579774592	0.00328888888888889
"5-oxoproline"	1.0001000150025	1.0001000150025	1.40584162388088	0.00359206349206349
"6-hydroxydaidzein"	-1.18198328026955	-0.786844503398848	-0.941300461294466	0.0140533333333333
"6-hydroxynicotinate"	-1.0001000150025	-1.0001000150025	-1.40868513468813	0.00273460317460318
"6-oxopiperidine-2-carboxylate"	1.0001000150025	1.0001000150025	1.0001000150025	0.00663333333333333
"7-methylguanine"	-0.560629530643528	-1.27020615848755	-1.00869988350095	0.0123533333333333
"8-hydroxyguanine"	-1.24536727481318	-1.17186109249713	-1.22023520882116	0.0227928571428571
"8-hydroxyoctanoate"	1.38701725030211	0.0568880308092263	0.925964069441235	0.02609
"9,10-DiHOME"	-1.0001000150025	-1.41449648996668	-1.3782589832074	0.00232
"acetylcarnitine (C2)"	7.85815629973291	7.82526246847939	8.16576990538531	0.117589682539683
"acetylphosphate"	-1.0001000150025	-1.41449648996668	-1.26511349842314	0.00340333333333333
"acisoga"	0.640210638343084	-0.561422270307345	0.192253111421362	0.0264920634920635
"adenine"	-1.0001000150025	-1.0001000150025	-1.0001000150025	0.00397269841269841
"adenosine"	0	-1.0001000150025	-1.0001000150025	0.00133333333333333
"AMP"	1.58860353464044	0.742039370982151	1.35251829449721	0.0204771428571429
"adipate"	7.00887716601768	6.91086635264022	7.33834786513212	0.117012698412698
"agmatine"	0	0	0	0.000816666666666667
"alanine"	0	-1.0001000150025	-1.0001000150025	0.00269047619047619
"alanylleucine"	2.07777698257933	1.70610212367578	2.16467160740881	0.0173103174603175
"allo-threonine"	3.70763410671865	3.93433151082026	4.02908030809204	0.0454280952380952
"alpha-hydroxyisocaproate"	1.0001000150025	1.0001000150025	1.0001000150025	0.00484857142857143
"alpha-hydroxyisovalerate"	0	0	0	0.000986666666666667
"alpha-ketoglutarate"	-0.277352231599525	0.632480831772952	0.156174142801614	0.0020984126984127
"alpha-tocopherol"	0.2000008000048	-1.0001000150025	-0.447222540040205	0.00207555555555556
"alpha-tocopherol acetate"	0	0	0	0.00104285714285714
"alpha-tocotrienol"	-1.0001000150025	-1.0001000150025	-1.41449648996668	0.00176507936507937
"anserine"	2.21989392490314	1.7277882848288	1.64470893871948	0.0122360317460317
