name	name2	group	day	location	trt	window	trt_window	turkey
d14_cc_ther_082	d14_cc_ther_082	d14_cc_ther	14	cc	ther	early	early_ther	T82
d14_cc_ther_083	d14_cc_ther_083	d14_cc_ther	14	cc	ther	early	early_ther	T83
d14_cc_ther_084	d14_cc_ther_084	d14_cc_ther	14	cc	ther	early	early_ther	T84
d14_cc_ther_085	d14_cc_ther_085	d14_cc_ther	14	cc	ther	early	early_ther	T85
d14_cc_ther_086	d14_cc_ther_086	d14_cc_ther	14	cc	ther	early	early_ther	T86
d14_cc_ther_087	d14_cc_ther_087	d14_cc_ther	14	cc	ther	early	early_ther	T87
d14_cc_ther_088	d14_cc_ther_088	d14_cc_ther	14	cc	ther	early	early_ther	T88
d14_cc_ther_089	d14_cc_ther_089	d14_cc_ther	14	cc	ther	early	early_ther	T89
d14_cc_ther_090	d14_cc_ther_090	d14_cc_ther	14	cc	ther	early	early_ther	T90
d14_ic_ctrl_061	d14_ic_ctrl_061	d14_ic_ctrl	14	ic	ctrl	early	early_ctrl	T61
d14_ic_ctrl_062	d14_ic_ctrl_062	d14_ic_ctrl	14	ic	ctrl	early	early_ctrl	T62
d14_ic_ctrl_063	d14_ic_ctrl_063	d14_ic_ctrl	14	ic	ctrl	early	early_ctrl	T63
d14_ic_ctrl_064	d14_ic_ctrl_064	d14_ic_ctrl	14	ic	ctrl	early	early_ctrl	T64
d14_ic_ctrl_065	d14_ic_ctrl_065	d14_ic_ctrl	14	ic	ctrl	early	early_ctrl	T65
d14_ic_ctrl_066	d14_ic_ctrl_066	d14_ic_ctrl	14	ic	ctrl	early	early_ctrl	T66
d14_ic_ctrl_067	d14_ic_ctrl_067	d14_ic_ctrl	14	ic	ctrl	early	early_ctrl	T67
d14_ic_ctrl_068	d14_ic_ctrl_068	d14_ic_ctrl	14	ic	ctrl	early	early_ctrl	T68
d14_ic_ctrl_069	d14_ic_ctrl_069	d14_ic_ctrl	14	ic	ctrl	early	early_ctrl	T69
d14_ic_ctrl_070	d14_ic_ctrl_070	d14_ic_ctrl	14	ic	ctrl	early	early_ctrl	T70
d14_ic_sub_071	d14_ic_sub_071	d14_ic_sub	14	ic	sub	early	early_sub	T71
d14_ic_sub_072	d14_ic_sub_072	d14_ic_sub	14	ic	sub	early	early_sub	T72
d14_ic_sub_073	d14_ic_sub_073	d14_ic_sub	14	ic	sub	early	early_sub	T73
d14_ic_sub_074	d14_ic_sub_074	d14_ic_sub	14	ic	sub	early	early_sub	T74
d14_ic_sub_075	d14_ic_sub_075	d14_ic_sub	14	ic	sub	early	early_sub	T75
d14_ic_sub_076	d14_ic_sub_076	d14_ic_sub	14	ic	sub	early	early_sub	T76
d14_ic_sub_077	d14_ic_sub_077	d14_ic_sub	14	ic	sub	early	early_sub	T77
d14_ic_sub_078	d14_ic_sub_078	d14_ic_sub	14	ic	sub	early	early_sub	T78
d14_ic_sub_079	d14_ic_sub_079	d14_ic_sub	14	ic	sub	early	early_sub	T79
d14_ic_sub_080	d14_ic_sub_080	d14_ic_sub	14	ic	sub	early	early_sub	T80
d14_ic_ther_081	d14_ic_ther_081	d14_ic_ther	14	ic	ther	early	early_ther	T81
d14_ic_ther_082	d14_ic_ther_082	d14_ic_ther	14	ic	ther	early	early_ther	T82
d14_ic_ther_083	d14_ic_ther_083	d14_ic_ther	14	ic	ther	early	early_ther	T83
d14_ic_ther_084	d14_ic_ther_084	d14_ic_ther	14	ic	ther	early	early_ther	T84
d14_ic_ther_085	d14_ic_ther_085	d14_ic_ther	14	ic	ther	early	early_ther	T85
d14_ic_ther_086	d14_ic_ther_086	d14_ic_ther	14	ic	ther	early	early_ther	T86
d14_ic_ther_087	d14_ic_ther_087	d14_ic_ther	14	ic	ther	early	early_ther	T87
d14_ic_ther_088	d14_ic_ther_088	d14_ic_ther	14	ic	ther	early	early_ther	T88
d14_ic_ther_089	d14_ic_ther_089	d14_ic_ther	14	ic	ther	early	early_ther	T89
d14_ic_ther_090	d14_ic_ther_090	d14_ic_ther	14	ic	ther	early	early_ther	T90
d14_jc_ctrl_061	d14_jc_ctrl_061	d14_jc_ctrl	14	jc	ctrl	early	early_ctrl	T61
d14_jc_ctrl_062	d14_jc_ctrl_062	d14_jc_ctrl	14	jc	ctrl	early	early_ctrl	T62
d14_jc_ctrl_063	d14_jc_ctrl_063	d14_jc_ctrl	14	jc	ctrl	early	early_ctrl	T63
d14_jc_ctrl_064	d14_jc_ctrl_064	d14_jc_ctrl	14	jc	ctrl	early	early_ctrl	T64
d14_jc_ctrl_065	d14_jc_ctrl_065	d14_jc_ctrl	14	jc	ctrl	early	early_ctrl	T65
d14_jc_ctrl_066	d14_jc_ctrl_066	d14_jc_ctrl	14	jc	ctrl	early	early_ctrl	T66
d14_jc_ctrl_067	d14_jc_ctrl_067	d14_jc_ctrl	14	jc	ctrl	early	early_ctrl	T67
d14_jc_ctrl_068	d14_jc_ctrl_068	d14_jc_ctrl	14	jc	ctrl	early	early_ctrl	T68
d14_jc_ctrl_070	d14_jc_ctrl_070	d14_jc_ctrl	14	jc	ctrl	early	early_ctrl	T70
d14_jc_sub_072	d14_jc_sub_072	d14_jc_sub	14	jc	sub	early	early_sub	T72
d14_jc_sub_073	d14_jc_sub_073	d14_jc_sub	14	jc	sub	early	early_sub	T73
d14_jc_sub_074	d14_jc_sub_074	d14_jc_sub	14	jc	sub	early	early_sub	T74
d14_jc_sub_075	d14_jc_sub_075	d14_jc_sub	14	jc	sub	early	early_sub	T75
d14_jc_sub_076	d14_jc_sub_076	d14_jc_sub	14	jc	sub	early	early_sub	T76
d14_jc_sub_077	d14_jc_sub_077	d14_jc_sub	14	jc	sub	early	early_sub	T77
d14_jc_sub_078	d14_jc_sub_078	d14_jc_sub	14	jc	sub	early	early_sub	T78
d14_jc_sub_079	d14_jc_sub_079	d14_jc_sub	14	jc	sub	early	early_sub	T79
d14_jc_sub_080	d14_jc_sub_080	d14_jc_sub	14	jc	sub	early	early_sub	T80
d14_jc_ther_083	d14_jc_ther_083	d14_jc_ther	14	jc	ther	early	early_ther	T83
d14_jc_ther_085	d14_jc_ther_085	d14_jc_ther	14	jc	ther	early	early_ther	T85
d14_jc_ther_086	d14_jc_ther_086	d14_jc_ther	14	jc	ther	early	early_ther	T86
d14_jc_ther_087	d14_jc_ther_087	d14_jc_ther	14	jc	ther	early	early_ther	T87
d14_jc_ther_088	d14_jc_ther_088	d14_jc_ther	14	jc	ther	early	early_ther	T88
d14_jc_ther_089	d14_jc_ther_089	d14_jc_ther	14	jc	ther	early	early_ther	T89
d14_jc_ther_090	d14_jc_ther_090	d14_jc_ther	14	jc	ther	early	early_ther	T90
d2_cc_ctrl_001	d2_cc_ctrl_001	d2_cc_ctrl	2	cc	ctrl	early	early_ctrl	T1
d2_cc_ctrl_002	d2_cc_ctrl_002	d2_cc_ctrl	2	cc	ctrl	early	early_ctrl	T2
d2_cc_ctrl_003	d2_cc_ctrl_003	d2_cc_ctrl	2	cc	ctrl	early	early_ctrl	T3
d2_cc_ctrl_004	d2_cc_ctrl_004	d2_cc_ctrl	2	cc	ctrl	early	early_ctrl	T4
d2_cc_ctrl_005	d2_cc_ctrl_005	d2_cc_ctrl	2	cc	ctrl	early	early_ctrl	T5
d2_cc_ctrl_006	d2_cc_ctrl_006	d2_cc_ctrl	2	cc	ctrl	early	early_ctrl	T6
d2_cc_ctrl_007	d2_cc_ctrl_007	d2_cc_ctrl	2	cc	ctrl	early	early_ctrl	T7
d2_cc_ctrl_008	d2_cc_ctrl_008	d2_cc_ctrl	2	cc	ctrl	early	early_ctrl	T8
d2_cc_ctrl_009	d2_cc_ctrl_009	d2_cc_ctrl	2	cc	ctrl	early	early_ctrl	T9
d2_cc_ctrl_010	d2_cc_ctrl_010	d2_cc_ctrl	2	cc	ctrl	early	early_ctrl	T10
d2_cc_sub_011	d2_cc_sub_011	d2_cc_sub	2	cc	sub	early	early_sub	T11
d2_cc_sub_012	d2_cc_sub_012	d2_cc_sub	2	cc	sub	early	early_sub	T12
d2_cc_sub_013	d2_cc_sub_013	d2_cc_sub	2	cc	sub	early	early_sub	T13
d2_cc_sub_014	d2_cc_sub_014	d2_cc_sub	2	cc	sub	early	early_sub	T14
d2_cc_sub_015	d2_cc_sub_015	d2_cc_sub	2	cc	sub	early	early_sub	T15
d2_cc_sub_016	d2_cc_sub_016	d2_cc_sub	2	cc	sub	early	early_sub	T16
d2_cc_sub_017	d2_cc_sub_017	d2_cc_sub	2	cc	sub	early	early_sub	T17
d2_cc_sub_018	d2_cc_sub_018	d2_cc_sub	2	cc	sub	early	early_sub	T18
d2_cc_sub_019	d2_cc_sub_019	d2_cc_sub	2	cc	sub	early	early_sub	T19
d2_cc_sub_020	d2_cc_sub_020	d2_cc_sub	2	cc	sub	early	early_sub	T20
d2_cc_ther_021	d2_cc_ther_021	d2_cc_ther	2	cc	ther	early	early_ther	T21
d2_cc_ther_022	d2_cc_ther_022	d2_cc_ther	2	cc	ther	early	early_ther	T22
d2_cc_ther_023	d2_cc_ther_023	d2_cc_ther	2	cc	ther	early	early_ther	T23
d2_cc_ther_024	d2_cc_ther_024	d2_cc_ther	2	cc	ther	early	early_ther	T24
d2_cc_ther_025	d2_cc_ther_025	d2_cc_ther	2	cc	ther	early	early_ther	T25
d2_cc_ther_026	d2_cc_ther_026	d2_cc_ther	2	cc	ther	early	early_ther	T26
d2_cc_ther_027	d2_cc_ther_027	d2_cc_ther	2	cc	ther	early	early_ther	T27
d2_cc_ther_028	d2_cc_ther_028	d2_cc_ther	2	cc	ther	early	early_ther	T28
d2_cc_ther_029	d2_cc_ther_029	d2_cc_ther	2	cc	ther	early	early_ther	T29
d2_cc_ther_030	d2_cc_ther_030	d2_cc_ther	2	cc	ther	early	early_ther	T30
d2_ic_ctrl_001	d2_ic_ctrl_001	d2_ic_ctrl	2	ic	ctrl	early	early_ctrl	T1
d2_ic_ctrl_002	d2_ic_ctrl_002	d2_ic_ctrl	2	ic	ctrl	early	early_ctrl	T2
d2_ic_ctrl_003	d2_ic_ctrl_003	d2_ic_ctrl	2	ic	ctrl	early	early_ctrl	T3
d2_ic_ctrl_004	d2_ic_ctrl_004	d2_ic_ctrl	2	ic	ctrl	early	early_ctrl	T4
d2_ic_ctrl_005	d2_ic_ctrl_005	d2_ic_ctrl	2	ic	ctrl	early	early_ctrl	T5
d2_ic_ctrl_006	d2_ic_ctrl_006	d2_ic_ctrl	2	ic	ctrl	early	early_ctrl	T6
d2_ic_ctrl_007	d2_ic_ctrl_007	d2_ic_ctrl	2	ic	ctrl	early	early_ctrl	T7
d2_ic_ctrl_008	d2_ic_ctrl_008	d2_ic_ctrl	2	ic	ctrl	early	early_ctrl	T8
d2_ic_ctrl_009	d2_ic_ctrl_009	d2_ic_ctrl	2	ic	ctrl	early	early_ctrl	T9
d2_ic_ctrl_010	d2_ic_ctrl_010	d2_ic_ctrl	2	ic	ctrl	early	early_ctrl	T10
d2_ic_sub_011	d2_ic_sub_011	d2_ic_sub	2	ic	sub	early	early_sub	T11
d2_ic_sub_012	d2_ic_sub_012	d2_ic_sub	2	ic	sub	early	early_sub	T12
d2_ic_sub_013	d2_ic_sub_013	d2_ic_sub	2	ic	sub	early	early_sub	T13
d2_ic_sub_014	d2_ic_sub_014	d2_ic_sub	2	ic	sub	early	early_sub	T14
d2_ic_sub_015	d2_ic_sub_015	d2_ic_sub	2	ic	sub	early	early_sub	T15
d2_ic_sub_016	d2_ic_sub_016	d2_ic_sub	2	ic	sub	early	early_sub	T16
d2_ic_sub_017	d2_ic_sub_017	d2_ic_sub	2	ic	sub	early	early_sub	T17
d2_ic_sub_018	d2_ic_sub_018	d2_ic_sub	2	ic	sub	early	early_sub	T18
d2_ic_sub_019	d2_ic_sub_019	d2_ic_sub	2	ic	sub	early	early_sub	T19
d2_ic_sub_020	d2_ic_sub_020	d2_ic_sub	2	ic	sub	early	early_sub	T20
d2_ic_ther_021	d2_ic_ther_021	d2_ic_ther	2	ic	ther	early	early_ther	T21
d2_ic_ther_022	d2_ic_ther_022	d2_ic_ther	2	ic	ther	early	early_ther	T22
d2_ic_ther_023	d2_ic_ther_023	d2_ic_ther	2	ic	ther	early	early_ther	T23
d2_ic_ther_024	d2_ic_ther_024	d2_ic_ther	2	ic	ther	early	early_ther	T24
d2_ic_ther_025	d2_ic_ther_025	d2_ic_ther	2	ic	ther	early	early_ther	T25
d2_ic_ther_026	d2_ic_ther_026	d2_ic_ther	2	ic	ther	early	early_ther	T26
d2_ic_ther_027	d2_ic_ther_027	d2_ic_ther	2	ic	ther	early	early_ther	T27
d2_ic_ther_028	d2_ic_ther_028	d2_ic_ther	2	ic	ther	early	early_ther	T28
d2_ic_ther_029	d2_ic_ther_029	d2_ic_ther	2	ic	ther	early	early_ther	T29
d2_ic_ther_030	d2_ic_ther_030	d2_ic_ther	2	ic	ther	early	early_ther	T30
d2_jc_ctrl_001	d2_jc_ctrl_001	d2_jc_ctrl	2	jc	ctrl	early	early_ctrl	T1
d2_jc_ctrl_002	d2_jc_ctrl_002	d2_jc_ctrl	2	jc	ctrl	early	early_ctrl	T2
d2_jc_ctrl_003	d2_jc_ctrl_003	d2_jc_ctrl	2	jc	ctrl	early	early_ctrl	T3
d2_jc_ctrl_004	d2_jc_ctrl_004	d2_jc_ctrl	2	jc	ctrl	early	early_ctrl	T4
d2_jc_ctrl_005	d2_jc_ctrl_005	d2_jc_ctrl	2	jc	ctrl	early	early_ctrl	T5
d2_jc_ctrl_006	d2_jc_ctrl_006	d2_jc_ctrl	2	jc	ctrl	early	early_ctrl	T6
d2_jc_ctrl_007	d2_jc_ctrl_007	d2_jc_ctrl	2	jc	ctrl	early	early_ctrl	T7
d2_jc_ctrl_008	d2_jc_ctrl_008	d2_jc_ctrl	2	jc	ctrl	early	early_ctrl	T8
d2_jc_ctrl_009	d2_jc_ctrl_009	d2_jc_ctrl	2	jc	ctrl	early	early_ctrl	T9
d2_jc_ctrl_010	d2_jc_ctrl_010	d2_jc_ctrl	2	jc	ctrl	early	early_ctrl	T10
d2_jc_sub_012	d2_jc_sub_012	d2_jc_sub	2	jc	sub	early	early_sub	T12
d2_jc_sub_013	d2_jc_sub_013	d2_jc_sub	2	jc	sub	early	early_sub	T13
d2_jc_sub_014	d2_jc_sub_014	d2_jc_sub	2	jc	sub	early	early_sub	T14
d2_jc_sub_015	d2_jc_sub_015	d2_jc_sub	2	jc	sub	early	early_sub	T15
d2_jc_sub_017	d2_jc_sub_017	d2_jc_sub	2	jc	sub	early	early_sub	T17
d2_jc_sub_018	d2_jc_sub_018	d2_jc_sub	2	jc	sub	early	early_sub	T18
d2_jc_sub_019	d2_jc_sub_019	d2_jc_sub	2	jc	sub	early	early_sub	T19
d2_jc_sub_020	d2_jc_sub_020	d2_jc_sub	2	jc	sub	early	early_sub	T20
d2_jc_ther_021	d2_jc_ther_021	d2_jc_ther	2	jc	ther	early	early_ther	T21
d2_jc_ther_022	d2_jc_ther_022	d2_jc_ther	2	jc	ther	early	early_ther	T22
d2_jc_ther_023	d2_jc_ther_023	d2_jc_ther	2	jc	ther	early	early_ther	T23
d2_jc_ther_024	d2_jc_ther_024	d2_jc_ther	2	jc	ther	early	early_ther	T24
d2_jc_ther_025	d2_jc_ther_025	d2_jc_ther	2	jc	ther	early	early_ther	T25
d2_jc_ther_026	d2_jc_ther_026	d2_jc_ther	2	jc	ther	early	early_ther	T26
d2_jc_ther_027	d2_jc_ther_027	d2_jc_ther	2	jc	ther	early	early_ther	T27
d2_jc_ther_028	d2_jc_ther_028	d2_jc_ther	2	jc	ther	early	early_ther	T28
d2_jc_ther_029	d2_jc_ther_029	d2_jc_ther	2	jc	ther	early	early_ther	T29
d2_jc_ther_030	d2_jc_ther_030	d2_jc_ther	2	jc	ther	early	early_ther	T30
d35_cc_ctrl_091	d35_cc_ctrl_091	d35_cc_ctrl	35	cc	ctrl	early	early_ctrl	T91
d35_cc_ctrl_092	d35_cc_ctrl_092	d35_cc_ctrl	35	cc	ctrl	early	early_ctrl	T92
d35_cc_ctrl_093	d35_cc_ctrl_093	d35_cc_ctrl	35	cc	ctrl	early	early_ctrl	T93
d35_cc_ctrl_094	d35_cc_ctrl_094	d35_cc_ctrl	35	cc	ctrl	early	early_ctrl	T94
d35_cc_ctrl_095	d35_cc_ctrl_095	d35_cc_ctrl	35	cc	ctrl	early	early_ctrl	T95
d35_cc_ctrl_096	d35_cc_ctrl_096	d35_cc_ctrl	35	cc	ctrl	early	early_ctrl	T96
d35_cc_ctrl_097	d35_cc_ctrl_097	d35_cc_ctrl	35	cc	ctrl	early	early_ctrl	T97
d35_cc_ctrl_098	d35_cc_ctrl_098	d35_cc_ctrl	35	cc	ctrl	early	early_ctrl	T98
d35_cc_ctrl_099	d35_cc_ctrl_099	d35_cc_ctrl	35	cc	ctrl	early	early_ctrl	T99
d35_cc_ctrl_100	d35_cc_ctrl_100	d35_cc_ctrl	35	cc	ctrl	early	early_ctrl	T100
d35_cc_sub_101	d35_cc_sub_101	d35_cc_sub	35	cc	sub	early	early_sub	T101
d35_cc_sub_102	d35_cc_sub_102	d35_cc_sub	35	cc	sub	early	early_sub	T102
d35_cc_sub_103	d35_cc_sub_103	d35_cc_sub	35	cc	sub	early	early_sub	T103
d35_cc_sub_104	d35_cc_sub_104	d35_cc_sub	35	cc	sub	early	early_sub	T104
d35_cc_sub_105	d35_cc_sub_105	d35_cc_sub	35	cc	sub	early	early_sub	T105
d35_cc_sub_106	d35_cc_sub_106	d35_cc_sub	35	cc	sub	early	early_sub	T106
d35_cc_sub_107	d35_cc_sub_107	d35_cc_sub	35	cc	sub	early	early_sub	T107
d35_cc_sub_108	d35_cc_sub_108	d35_cc_sub	35	cc	sub	early	early_sub	T108
d35_cc_sub_109	d35_cc_sub_109	d35_cc_sub	35	cc	sub	early	early_sub	T109
d35_cc_sub_110	d35_cc_sub_110	d35_cc_sub	35	cc	sub	early	early_sub	T110
d35_cc_ther_111	d35_cc_ther_111	d35_cc_ther	35	cc	ther	early	early_ther	T111
d35_cc_ther_112	d35_cc_ther_112	d35_cc_ther	35	cc	ther	early	early_ther	T112
d35_cc_ther_113	d35_cc_ther_113	d35_cc_ther	35	cc	ther	early	early_ther	T113
d35_cc_ther_113	d35_cc_ther_113	d35_cc_ther	35	cc	ther	early	early_ther	T114
d35_cc_ther_115	d35_cc_ther_115	d35_cc_ther	35	cc	ther	early	early_ther	T115
d35_cc_ther_116	d35_cc_ther_116	d35_cc_ther	35	cc	ther	early	early_ther	T116
d35_cc_ther_117	d35_cc_ther_117	d35_cc_ther	35	cc	ther	early	early_ther	T117
d35_cc_ther_118	d35_cc_ther_118	d35_cc_ther	35	cc	ther	early	early_ther	T118
d35_cc_ther_119	d35_cc_ther_119	d35_cc_ther	35	cc	ther	early	early_ther	T119
d35_cc_ther_120	d35_cc_ther_120	d35_cc_ther	35	cc	ther	early	early_ther	T120
d35_ic_ctrl_091	d35_ic_ctrl_091	d35_ic_ctrl	35	ic	ctrl	early	early_ctrl	T91
d35_ic_ctrl_092	d35_ic_ctrl_092	d35_ic_ctrl	35	ic	ctrl	early	early_ctrl	T92
d35_ic_ctrl_093	d35_ic_ctrl_093	d35_ic_ctrl	35	ic	ctrl	early	early_ctrl	T93
d35_ic_ctrl_094	d35_ic_ctrl_094	d35_ic_ctrl	35	ic	ctrl	early	early_ctrl	T94
d35_ic_ctrl_095	d35_ic_ctrl_095	d35_ic_ctrl	35	ic	ctrl	early	early_ctrl	T95
d35_ic_ctrl_096	d35_ic_ctrl_096	d35_ic_ctrl	35	ic	ctrl	early	early_ctrl	T96
d35_ic_ctrl_097	d35_ic_ctrl_097	d35_ic_ctrl	35	ic	ctrl	early	early_ctrl	T97
d35_ic_ctrl_098	d35_ic_ctrl_098	d35_ic_ctrl	35	ic	ctrl	early	early_ctrl	T98
d35_ic_ctrl_099	d35_ic_ctrl_099	d35_ic_ctrl	35	ic	ctrl	early	early_ctrl	T99
d35_ic_ctrl_100	d35_ic_ctrl_100	d35_ic_ctrl	35	ic	ctrl	early	early_ctrl	T100
d35_ic_sub_101	d35_ic_sub_101	d35_ic_sub	35	ic	sub	early	early_sub	T101
d35_ic_sub_102	d35_ic_sub_102	d35_ic_sub	35	ic	sub	early	early_sub	T102
d35_ic_sub_103	d35_ic_sub_103	d35_ic_sub	35	ic	sub	early	early_sub	T103
d35_ic_sub_104	d35_ic_sub_104	d35_ic_sub	35	ic	sub	early	early_sub	T104
d35_ic_sub_105	d35_ic_sub_105	d35_ic_sub	35	ic	sub	early	early_sub	T105
d35_ic_sub_106	d35_ic_sub_106	d35_ic_sub	35	ic	sub	early	early_sub	T106
d35_ic_sub_107	d35_ic_sub_107	d35_ic_sub	35	ic	sub	early	early_sub	T107
d35_ic_sub_108	d35_ic_sub_108	d35_ic_sub	35	ic	sub	early	early_sub	T108
d35_ic_sub_109	d35_ic_sub_109	d35_ic_sub	35	ic	sub	early	early_sub	T109
d35_ic_sub_110	d35_ic_sub_110	d35_ic_sub	35	ic	sub	early	early_sub	T110
d35_ic_ther_111	d35_ic_ther_111	d35_ic_ther	35	ic	ther	early	early_ther	T111
d35_ic_ther_112	d35_ic_ther_112	d35_ic_ther	35	ic	ther	early	early_ther	T112
d35_ic_ther_113	d35_ic_ther_113	d35_ic_ther	35	ic	ther	early	early_ther	T113
d35_ic_ther_114	d35_ic_ther_114	d35_ic_ther	35	ic	ther	early	early_ther	T114
d35_ic_ther_115	d35_ic_ther_115	d35_ic_ther	35	ic	ther	early	early_ther	T115
d35_ic_ther_116	d35_ic_ther_116	d35_ic_ther	35	ic	ther	early	early_ther	T116
d35_ic_ther_117	d35_ic_ther_117	d35_ic_ther	35	ic	ther	early	early_ther	T117
d35_ic_ther_118	d35_ic_ther_118	d35_ic_ther	35	ic	ther	early	early_ther	T118
d35_ic_ther_119	d35_ic_ther_119	d35_ic_ther	35	ic	ther	early	early_ther	T119
d35_ic_ther_120	d35_ic_ther_120	d35_ic_ther	35	ic	ther	early	early_ther	T120
d35_jc_ctrl_091	d35_jc_ctrl_091	d35_jc_ctrl	35	jc	ctrl	early	early_ctrl	T91
d35_jc_ctrl_092	d35_jc_ctrl_092	d35_jc_ctrl	35	jc	ctrl	early	early_ctrl	T92
d35_jc_ctrl_093	d35_jc_ctrl_093	d35_jc_ctrl	35	jc	ctrl	early	early_ctrl	T93
d35_jc_ctrl_094	d35_jc_ctrl_094	d35_jc_ctrl	35	jc	ctrl	early	early_ctrl	T94
d35_jc_ctrl_095	d35_jc_ctrl_095	d35_jc_ctrl	35	jc	ctrl	early	early_ctrl	T95
d35_jc_ctrl_096	d35_jc_ctrl_096	d35_jc_ctrl	35	jc	ctrl	early	early_ctrl	T96
d35_jc_ctrl_097	d35_jc_ctrl_097	d35_jc_ctrl	35	jc	ctrl	early	early_ctrl	T97
d35_jc_ctrl_098	d35_jc_ctrl_098	d35_jc_ctrl	35	jc	ctrl	early	early_ctrl	T98
d35_jc_ctrl_099	d35_jc_ctrl_099	d35_jc_ctrl	35	jc	ctrl	early	early_ctrl	T99
d35_jc_ctrl_100	d35_jc_ctrl_100	d35_jc_ctrl	35	jc	ctrl	early	early_ctrl	T100
d35_jc_sub_101	d35_jc_sub_101	d35_jc_sub	35	jc	sub	early	early_sub	T101
d35_jc_sub_102	d35_jc_sub_102	d35_jc_sub	35	jc	sub	early	early_sub	T102
d35_jc_sub_104	d35_jc_sub_104	d35_jc_sub	35	jc	sub	early	early_sub	T104
d35_jc_sub_105	d35_jc_sub_105	d35_jc_sub	35	jc	sub	early	early_sub	T105
d35_jc_sub_106	d35_jc_sub_106	d35_jc_sub	35	jc	sub	early	early_sub	T106
d35_jc_sub_107	d35_jc_sub_107	d35_jc_sub	35	jc	sub	early	early_sub	T107
d35_jc_sub_108	d35_jc_sub_108	d35_jc_sub	35	jc	sub	early	early_sub	T108
d35_jc_sub_109	d35_jc_sub_109	d35_jc_sub	35	jc	sub	early	early_sub	T109
d35_jc_sub_110	d35_jc_sub_110	d35_jc_sub	35	jc	sub	early	early_sub	T110
d35_jc_ther_111	d35_jc_ther_111	d35_jc_ther	35	jc	ther	early	early_ther	T111
d35_jc_ther_112	d35_jc_ther_112	d35_jc_ther	35	jc	ther	early	early_ther	T112
d35_jc_ther_113	d35_jc_ther_113	d35_jc_ther	35	jc	ther	early	early_ther	T113
d35_jc_ther_114	d35_jc_ther_114	d35_jc_ther	35	jc	ther	early	early_ther	T114
d35_jc_ther_115	d35_jc_ther_115	d35_jc_ther	35	jc	ther	early	early_ther	T115
d35_jc_ther_116	d35_jc_ther_116	d35_jc_ther	35	jc	ther	early	early_ther	T116
d35_jc_ther_117	d35_jc_ther_117	d35_jc_ther	35	jc	ther	early	early_ther	T117
d35_jc_ther_118	d35_jc_ther_118	d35_jc_ther	35	jc	ther	early	early_ther	T118
d35_jc_ther_119	d35_jc_ther_119	d35_jc_ther	35	jc	ther	early	early_ther	T119
d35_jc_ther_120	d35_jc_ther_120	d35_jc_ther	35	jc	ther	early	early_ther	T120
d42_cc_ctrl_121	d42_cc_ctrl_121	d42_cc_ctrl	42	cc	ctrl	later	later_ctrl	T121
d42_cc_ctrl_122	d42_cc_ctrl_122	d42_cc_ctrl	42	cc	ctrl	later	later_ctrl	T122
d42_cc_ctrl_123	d42_cc_ctrl_123	d42_cc_ctrl	42	cc	ctrl	later	later_ctrl	T123
d42_cc_ctrl_124	d42_cc_ctrl_124	d42_cc_ctrl	42	cc	ctrl	later	later_ctrl	T124
